"A1BG","1.9325044612874e-07"
"A1CF","0.000467974328307078"
"A2BP1","0.251595787892695"
"A2LD1","0.00477353018513004"
"A2ML1","0.999999999999813"
"A2M","5.75109005955526e-06"
"A4GALT","1.14731991629493e-05"
"A4GNT","1.2659427279027e-05"
"AAA1","0.000154798964000028"
"AAAS","0.00147806114382359"
"AACSL","0.0118184795752294"
"AACS","2.91643944365928e-07"
"AADACL2","0.434326116583388"
"AADACL3","0.999999999999813"
"AADACL4","0.241690122659489"
"AADAC","0.000172499894208247"
"AADAT","9.17782625584574e-21"
"AAGAB","2.39424667409954e-09"
"AAK1","2.61642756585335e-08"
"AAMP","0.0216417512087974"
"AANAT","0.576073571974912"
"AARS2","4.47835262054875e-10"
"AARSD1","0.00922956283907794"
"AARS","0.486393275292651"
"AASDHPPT","0.00111935906834954"
"AASDH","0.00878836502449942"
"AASS","6.15621252145843e-06"
"AATF","4.90975987864494e-09"
"AATK","0.0550455221440028"
"ABAT","4.2481851088959e-11"
"ABCA10","4.79366100088417e-05"
"ABCA11P","0.16199541597001"
"ABCA12","0.442669844387252"
"ABCA13","0.263312151917071"
"ABCA17P","0.013283974144551"
"ABCA1","9.95648062034792e-11"
"ABCA2","0.0688059216438379"
"ABCA3","3.68084266769757e-05"
"ABCA4","0.0295350789773561"
"ABCA5","0.175056290179951"
"ABCA6","1.98030157157523e-06"
"ABCA7","0.000101517293681836"
"ABCA8","3.87132287954427e-15"
"ABCA9","1.17336432994759e-07"
"ABCB10","0.146504834932116"
"ABCB11","7.68035351903825e-06"
"ABCB1","0.244598454375223"
"ABCB4","0.000446113867555115"
"ABCB5","0.00131391513632278"
"ABCB6","0.253567611246398"
"ABCB7","0.0376527155489904"
"ABCB8","0.00056513642993406"
"ABCB9","1.91852789984766e-07"
"ABCC10","2.21795692772239e-13"
"ABCC11","0.911978590368939"
"ABCC12","0.152463114485295"
"ABCC13","0.688811643334877"
"ABCC1","0.0146420313283651"
"ABCC2","0.0158642318534877"
"ABCC3","0.198287946800134"
"ABCC4","0.000997663513813346"
"ABCC5","4.48474020086741e-12"
"ABCC6P1","0.010153711300747"
"ABCC6P2","0.00224572853747936"
"ABCC6","5.60603963055122e-05"
"ABCC8","0.00708194032649266"
"ABCC9","9.24803210874626e-11"
"ABCD1","9.3659621644724e-05"
"ABCD2","0.529794846612126"
"ABCD3","1.40902454637261e-08"
"ABCD4","1.93791194723129e-09"
"ABCE1","0.00837028058136251"
"ABCF1","0.000138640500218459"
"ABCF2","1.22881376567002e-16"
"ABCF3","0.0671646925420233"
"ABCG1","0.0512588650679528"
"ABCG2","3.11116713052314e-05"
"ABCG4","0.0338941408983722"
"ABCG5","1.95213388060626e-08"
"ABCG8","2.87499782850348e-05"
"ABHD10","5.55841806810659e-06"
"ABHD11","0.000948812056620527"
"ABHD12B","0.987786319155359"
"ABHD12","3.23824090843476e-08"
"ABHD13","6.30547014438055e-09"
"ABHD14A","0.55373831228833"
"ABHD14B","5.10563639523619e-05"
"ABHD15","1.46515920443618e-07"
"ABHD1","0.01097379084471"
"ABHD2","1.27320702926721e-07"
"ABHD3","0.618665736325955"
"ABHD4","1.29694271817191e-07"
"ABHD5","0.000199003591092382"
"ABHD6","2.51465229097481e-11"
"ABHD8","0.751712465123147"
"ABI1","0.00213365324046334"
"ABI2","0.326111004935121"
"ABI3BP","1.40934947080495e-06"
"ABI3","0.0455049026055535"
"ABL1","0.00715896729588891"
"ABL2","9.67425950958029e-06"
"ABLIM1","0.286507298366907"
"ABLIM2","3.0749576404157e-05"
"ABLIM3","1.22813068666351e-08"
"ABO","0.730691649895945"
"ABP1","0.000281223316378702"
"ABRA","0.65459982937111"
"ABR","0.736297232262393"
"ABT1","0.410302164925102"
"ABTB1","0.999999999999813"
"ABTB2","0.0273762005982503"
"ACAA1","5.1899369842148e-15"
"ACAA2","2.90695771785391e-14"
"ACACA","4.43265180918562e-07"
"ACACB","2.17891081442857e-10"
"ACAD10","0.000756028320789407"
"ACAD11","2.66659086392738e-15"
"ACAD8","2.046322033525e-05"
"ACAD9","0.512128932760618"
"ACADL","6.37013055352305e-12"
"ACADM","5.04472815452831e-10"
"ACADSB","6.73248030941074e-13"
"ACADS","5.27905553752322e-19"
"ACADVL","1.13137633702885e-06"
"ACAN","4.02968549605061e-06"
"ACAP1","0.0258722307320569"
"ACAP2","0.999999999999813"
"ACAP3","0.00413224901343739"
"ACAT1","9.36168579100672e-14"
"ACAT2","5.84845069162559e-05"
"ACBD3","0.00620051112828105"
"ACBD4","2.3375825632883e-08"
"ACBD5","1.00473704571437e-05"
"ACBD6","2.9091444818981e-14"
"ACBD7","5.8392362882853e-05"
"ACCN1","0.999999999999813"
"ACCN2","0.000599193263966538"
"ACCN3","2.79015294798664e-05"
"ACCN4","0.208030151934085"
"ACCN5","0.280637278848483"
"ACCSL","0.794303479389955"
"ACCS","0.0968787605879694"
"ACD","0.00897570660274652"
"ACE2","0.000900387964817877"
"ACER1","0.00166720158048285"
"ACER2","0.00156609214543202"
"ACER3","0.103094831253292"
"ACE","0.00035526498864926"
"ACHE","0.705754621248662"
"ACIN1","0.297491591577219"
"ACLY","1.47793501394214e-12"
"ACMSD","3.58567485802096e-05"
"ACN9","0.520279708892695"
"ACO1","2.22163310892626e-06"
"ACO2","0.0747811314191243"
"ACOT11","0.388115186715647"
"ACOT12","9.27199109342265e-12"
"ACOT13","0.000116898655966577"
"ACOT1","1.02158138056398e-07"
"ACOT2","1.61086935655504e-09"
"ACOT4","0.0156186755375738"
